nct_id	gender	max_age	max_age_in_years	max_age_number	max_age_unit	min_age	min_age_in_years	min_age_number	min_age_unit
NCT01925131	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT00942877	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT01273155	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01273168	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01362803	BOTH	18 Years	18	18	Years	2 Years	2	2	Years
NCT01391962	BOTH	999 Years	999	999	Years	16 Years	16	16	Years
NCT01572493	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01748825	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01827384	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01922076	BOTH	21 Years	21	21	Years	37 Months	3.0833333333333335	37	Months
NCT01964300	BOTH	25 Years	25	25	Years	18 Months	1.5	18	Months
NCT02004275	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01940809	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01947023	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01988571	BOTH	80 Years	80	80	Years	21 Years	21	21	Years
NCT01993810	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02054741	BOTH	999 Years	999	999	Years	70 Years	70	70	Years
NCT01946789	BOTH	999 Years	999	999	Years	19 Years	19	19	Years
NCT01989585	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01979536	BOTH	21 Years	21	21	Years	0 Years	0	0	Years
NCT02003222	BOTH	70 Years	70	70	Years	30 Years	30	30	Years
NCT01896869	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02065687	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02059499	BOTH	999 Years	999	999	Years	25 Years	25	25	Years
NCT02029950	BOTH	65 Years	65	65	Years	18 Years	18	18	Years
NCT02015104	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02070549	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02079740	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02095132	BOTH	21 Years	21	21	Years	1 Years	1	1	Years
NCT02097225	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02152982	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02101775	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02143726	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02154490	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02101788	FEMALE	999 Years	999	999	Years	19 Years	19	19	Years
NCT02101853	BOTH	30 Years	30	30	Years	1 Years	1	1	Years
NCT02101905	404ERROR
NCT02135042	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02135419	BOTH	999 Years	999	999	Years	35 Years	35	35	Years
NCT02255461	BOTH	21 Years	21	21	Years	4 Years	4	4	Years
NCT02101944	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02032823	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02176967	BOTH	17 Months	1.4166666666666667	17	Months	0 Months	0	0	Months
NCT02152137	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02379416	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02206334	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02112916	BOTH	30 Years	30	30	Years	2 Years	2	2	Years
NCT02115282	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02116777	BOTH	30 Years	30	30	Years	13 Months	1.0833333333333333	13	Months
NCT02211755	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02200042	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02177695	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02190279	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02133183	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02249949	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02143401	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02143414	BOTH	999 Years	999	999	Years	65 Years	65	65	Years
NCT02179086	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02152995	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02159989	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02142803	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02304458	BOTH	30 Years	30	30	Years	12 Months	1	12	Months
NCT02166463	BOTH	22 Years	22	22	Years	2 Years	2	2	Years
NCT02180867	BOTH	999 Years	999	999	Years	2 Years	2	2	Years
NCT02196181	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02270450	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02201992	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02193282	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02375204	MALE	999 Years	999	999	Years	14 Years	14	14	Years
NCT02224781	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02203526	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02364557	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02445391	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02243605	BOTH	999 Years	999	999	Years	12 Years	12	12	Years
NCT02298959	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02575794	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02437851	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02275533	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02281760	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02339740	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT02412670	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02496208	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02306161	BOTH	50 Years	50	50	Years	0 Years	0	0	Years
NCT02428192	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02438722	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT02323880	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT02063828	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02498600	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02317874	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT01885455	BOTH	999 Years	999	999	Years	21 Years	21	21	Years
NCT02337517	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02339571	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02360215	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02799485	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02465060	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03047213	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02535312	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02488967	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02359565	BOTH	29 Years	29	29	Years	1 Years	1	1	Years
NCT02363283	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02381548	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02381561	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02500797	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02516423	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02521493	BOTH	3 Years	3	3	Years	91 Days	0.2493150684931507	91	Days
